length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,SKR
10000000.0,0.15,0.075,0.19999999999999998,0.02,1,[167191.62526946]
10000000.0,0.15,0.075,0.19999999999999998,0.04,1,[334367.94434178]
10000000.0,0.15,0.075,0.19999999999999998,0.06,1,[501524.17230106]
10000000.0,0.15,0.075,0.19999999999999998,0.08,1,[668655.72056926]
10000000.0,0.15,0.075,0.19999999999999998,0.1,1,[835757.81547143]
10000000.0,0.15,0.075,0.19999999999999998,0.12000000000000001,1,[1002825.29359239]
10000000.0,0.15,0.075,0.19999999999999998,0.13999999999999999,1,[1169852.44912885]
10000000.0,0.15,0.075,0.19999999999999998,0.16,1,[1336832.89047645]
10000000.0,0.15,0.075,0.19999999999999998,0.18,1,[1503759.3879118]
10000000.0,0.15,0.075,0.19999999999999998,0.19999999999999998,1,[1670623.70121449]
10000000.0,0.15,0.075,0.19999999999999998,0.22,1,[1837416.37776821]
10000000.0,0.15,0.075,0.19999999999999998,0.24,1,[2004126.51121266]
10000000.0,0.15,0.075,0.19999999999999998,0.26,1,[2170741.44896802]
10000000.0,0.15,0.075,0.19999999999999998,0.28,1,[2337246.43409159]
10000000.0,0.15,0.075,0.19999999999999998,0.30000000000000004,1,[2503624.1628104]
10000000.0,0.15,0.075,0.19999999999999998,0.32,1,[2669854.23334855]
10000000.0,0.15,0.075,0.19999999999999998,0.34,1,[2835912.45375025]
10000000.0,0.15,0.075,0.19999999999999998,0.36000000000000004,1,[3001769.96540598]
10000000.0,0.15,0.075,0.19999999999999998,0.38,1,[3167392.12359728]
10000000.0,0.15,0.075,0.19999999999999998,0.4,1,[3332737.054597]
10000000.0,0.15,0.075,0.19999999999999998,0.42000000000000004,1,[3497753.77767042]
10000000.0,0.15,0.075,0.19999999999999998,0.44,1,[3662379.73505178]
10000000.0,0.15,0.075,0.19999999999999998,0.46,1,[3826537.50629813]
10000000.0,0.15,0.075,0.19999999999999998,0.48000000000000004,1,[3990130.38366167]
10000000.0,0.15,0.075,0.19999999999999998,0.5,1,[4153036.33324817]
10000000.0,0.15,0.075,0.19999999999999998,0.52,1,[4315099.63110871]
10000000.0,0.15,0.075,0.19999999999999998,0.54,1,[4476119.09021993]
10000000.0,0.15,0.075,0.19999999999999998,0.56,1,[4635831.18957608]
10000000.0,0.15,0.075,0.19999999999999998,0.5800000000000001,1,[4793885.41165084]
10000000.0,0.15,0.075,0.19999999999999998,0.6,1,[4949807.37682193]
10000000.0,0.15,0.075,0.19999999999999998,0.62,1,[5102942.33378201]
10000000.0,0.15,0.075,0.19999999999999998,0.64,1,[5252366.02863126]
10000000.0,0.15,0.075,0.19999999999999998,0.66,1,[5396739.44211882]
10000000.0,0.15,0.075,0.19999999999999998,0.68,1,[5534062.89661389]
10000000.0,0.15,0.075,0.19999999999999998,0.7000000000000001,1,[5661240.91522215]
10000000.0,0.15,0.075,0.19999999999999998,0.7200000000000001,1,[5773270.46332049]
10000000.0,0.15,0.075,0.19999999999999998,0.74,1,[5861627.04870709]
10000000.0,0.15,0.075,0.19999999999999998,0.76,1,[5910794.77402294]
10000000.0,0.15,0.075,0.19999999999999998,0.78,1,[5890035.85707206]
10000000.0,0.15,0.075,0.19999999999999998,0.8,1,[5731262.17157299]
10000000.0,0.15,0.075,0.19999999999999998,0.8200000000000001,1,[5259493.55286941]
10000000.0,0.15,0.075,0.19999999999999998,0.8400000000000001,1,[3953915.85799156]
10000000.0,0.15,0.075,0.22,0.02,1,[165559.57043575]
10000000.0,0.15,0.075,0.22,0.04,1,[331105.9839598]
10000000.0,0.15,0.075,0.22,0.06,1,[496635.19235667]
10000000.0,0.15,0.075,0.22,0.08,1,[662143.35857378]
10000000.0,0.15,0.075,0.22,0.1,1,[827626.5221191]
10000000.0,0.15,0.075,0.22,0.12000000000000001,1,[993080.42698123]
10000000.0,0.15,0.075,0.22,0.13999999999999999,1,[1158500.39744148]
10000000.0,0.15,0.075,0.22,0.16,1,[1323881.22440103]
10000000.0,0.15,0.075,0.22,0.18,1,[1489217.04685279]
10000000.0,0.15,0.075,0.22,0.19999999999999998,1,[1654501.21949022]
10000000.0,0.15,0.075,0.22,0.22,1,[1819726.15919128]
10000000.0,0.15,0.075,0.22,0.24,1,[1984883.16304026]
