desired_p_decoy: 0.02, desired_p_z_alice: 0.78, factor_x_mud: 7, SKR: 426105.62452670257
desired_p_decoy: 0.02, desired_p_z_alice: 0.8, factor_x_mud: 7, SKR: 437025.67873381136
desired_p_decoy: 0.02, desired_p_z_alice: 0.82, factor_x_mud: 7, SKR: 447942.76774897537
desired_p_decoy: 0.02, desired_p_z_alice: 0.84, factor_x_mud: 7, SKR: 458855.4175812236
desired_p_decoy: 0.02, desired_p_z_alice: 0.86, factor_x_mud: 7, SKR: 469761.0908080069
desired_p_decoy: 0.02, desired_p_z_alice: 0.88, factor_x_mud: 7, SKR: 480655.14611125796
desired_p_decoy: 0.02, desired_p_z_alice: 0.9, factor_x_mud: 7, SKR: 491528.33538525784
desired_p_decoy: 0.02, desired_p_z_alice: 0.92, factor_x_mud: 7, SKR: 502359.8721287585
desired_p_decoy: 0.02, desired_p_z_alice: 0.94, factor_x_mud: 7, SKR: 513093.83224483626
desired_p_decoy: 0.02, desired_p_z_alice: 0.96, factor_x_mud: 7, SKR: 523526.92397586326
desired_p_decoy: 0.02, desired_p_z_alice: 0.98, factor_x_mud: 7, SKR: 532246.7957751023
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 7, SKR: 1364815.5334331626
desired_p_decoy: 0.04, desired_p_z_alice: 0.94, factor_x_mud: 7, SKR: 1394457.2055673276
desired_p_decoy: 0.04, desired_p_z_alice: 0.96, factor_x_mud: 7, SKR: 1424030.7039339894
desired_p_decoy: 0.04, desired_p_z_alice: 0.98, factor_x_mud: 7, SKR: 1453215.0833280517
desired_p_decoy: 0.06, desired_p_z_alice: 0.96, factor_x_mud: 7, SKR: 1663278.6063278145
desired_p_decoy: 0.06, desired_p_z_alice: 0.98, factor_x_mud: 7, SKR: 1697765.7171845583
desired_p_decoy: 0.08, desired_p_z_alice: 0.98, factor_x_mud: 7, SKR: 1773534.5567800894
desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 8, SKR: 404259.9257557617
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 8, SKR: 415184.1851246892
desired_p_decoy: 0.02, desired_p_z_alice: 0.78, factor_x_mud: 8, SKR: 426107.2599385772
desired_p_decoy: 0.02, desired_p_z_alice: 0.8, factor_x_mud: 8, SKR: 437028.7785499278
desired_p_decoy: 0.02, desired_p_z_alice: 0.82, factor_x_mud: 8, SKR: 447948.08718771924
desired_p_decoy: 0.02, desired_p_z_alice: 0.84, factor_x_mud: 8, SKR: 458864.099127569
desired_p_decoy: 0.02, desired_p_z_alice: 0.86, factor_x_mud: 8, SKR: 469774.9492628513
desired_p_decoy: 0.02, desired_p_z_alice: 0.88, factor_x_mud: 8, SKR: 480677.2390081773
desired_p_decoy: 0.02, desired_p_z_alice: 0.9, factor_x_mud: 8, SKR: 491564.22869527986
desired_p_decoy: 0.02, desired_p_z_alice: 0.92, factor_x_mud: 8, SKR: 502420.8636224768
desired_p_decoy: 0.02, desired_p_z_alice: 0.94, factor_x_mud: 8, SKR: 513206.99057943956
desired_p_decoy: 0.02, desired_p_z_alice: 0.96, factor_x_mud: 8, SKR: 523778.65377495496
desired_p_decoy: 0.02, desired_p_z_alice: 0.98, factor_x_mud: 8, SKR: 533165.5509997836
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 8, SKR: 1364816.5552180635
desired_p_decoy: 0.04, desired_p_z_alice: 0.94, factor_x_mud: 8, SKR: 1394465.3757747258
desired_p_decoy: 0.04, desired_p_z_alice: 0.96, factor_x_mud: 8, SKR: 1424063.637297662
desired_p_decoy: 0.04, desired_p_z_alice: 0.98, factor_x_mud: 8, SKR: 1453376.9568769203
desired_p_decoy: 0.06, desired_p_z_alice: 0.96, factor_x_mud: 8, SKR: 1663279.7337666338
desired_p_decoy: 0.06, desired_p_z_alice: 0.98, factor_x_mud: 8, SKR: 1697808.9084537036
desired_p_decoy: 0.08, desired_p_z_alice: 0.98, factor_x_mud: 8, SKR: 1773542.4527541227
desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 9, SKR: 404260.02329319465
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 9, SKR: 415184.64662311267
desired_p_decoy: 0.02, desired_p_z_alice: 0.78, factor_x_mud: 9, SKR: 426108.34425661934
desired_p_decoy: 0.02, desired_p_z_alice: 0.8, factor_x_mud: 9, SKR: 437030.8301967811
desired_p_decoy: 0.02, desired_p_z_alice: 0.82, factor_x_mud: 9, SKR: 447951.60072199523
desired_p_decoy: 0.02, desired_p_z_alice: 0.84, factor_x_mud: 9, SKR: 458869.8197494195
desired_p_decoy: 0.02, desired_p_z_alice: 0.86, factor_x_mud: 9, SKR: 469784.05558745225
desired_p_decoy: 0.02, desired_p_z_alice: 0.88, factor_x_mud: 9, SKR: 480691.70685872296
desired_p_decoy: 0.02, desired_p_z_alice: 0.9, factor_x_mud: 9, SKR: 491587.633146823
desired_p_decoy: 0.02, desired_p_z_alice: 0.92, factor_x_mud: 9, SKR: 502460.4047462262
desired_p_decoy: 0.02, desired_p_z_alice: 0.94, factor_x_mud: 9, SKR: 513279.73076251545
desired_p_decoy: 0.02, desired_p_z_alice: 0.96, factor_x_mud: 9, SKR: 523938.1021388879
desired_p_decoy: 0.02, desired_p_z_alice: 0.98, factor_x_mud: 9, SKR: 533726.37982524
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 9, SKR: 1364817.2305565178
desired_p_decoy: 0.04, desired_p_z_alice: 0.94, factor_x_mud: 9, SKR: 1394470.762554297
desired_p_decoy: 0.04, desired_p_z_alice: 0.96, factor_x_mud: 9, SKR: 1424085.2296711882
desired_p_decoy: 0.04, desired_p_z_alice: 0.98, factor_x_mud: 9, SKR: 1453481.5992898527
desired_p_decoy: 0.06, desired_p_z_alice: 0.96, factor_x_mud: 9, SKR: 1663280.4785427952
desired_p_decoy: 0.06, desired_p_z_alice: 0.98, factor_x_mud: 9, SKR: 1697837.2536816956
desired_p_decoy: 0.08, desired_p_z_alice: 0.98, factor_x_mud: 9, SKR: 1773547.6655730973
desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 10, SKR: 404260.0915888539
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 10, SKR: 415184.9695307704
desired_p_decoy: 0.02, desired_p_z_alice: 0.78, factor_x_mud: 10, SKR: 426109.1020371256
desired_p_decoy: 0.02, desired_p_z_alice: 0.8, factor_x_mud: 10, SKR: 437032.2619252068
desired_p_decoy: 0.02, desired_p_z_alice: 0.82, factor_x_mud: 10, SKR: 447954.048533624
desired_p_decoy: 0.02, desired_p_z_alice: 0.84, factor_x_mud: 10, SKR: 458873.7975680988
desired_p_decoy: 0.02, desired_p_z_alice: 0.86, factor_x_mud: 10, SKR: 469790.3735179547
desired_p_decoy: 0.02, desired_p_z_alice: 0.88, factor_x_mud: 10, SKR: 480701.71777298296
desired_p_decoy: 0.02, desired_p_z_alice: 0.9, factor_x_mud: 10, SKR: 491603.77369498904
desired_p_decoy: 0.02, desired_p_z_alice: 0.92, factor_x_mud: 10, SKR: 502487.5533527162
desired_p_decoy: 0.02, desired_p_z_alice: 0.94, factor_x_mud: 10, SKR: 513329.3533117646
desired_p_decoy: 0.02, desired_p_z_alice: 0.96, factor_x_mud: 10, SKR: 524045.6870029825
desired_p_decoy: 0.02, desired_p_z_alice: 0.98, factor_x_mud: 10, SKR: 534094.7232149572
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 10, SKR: 1364817.700859819
desired_p_decoy: 0.04, desired_p_z_alice: 0.94, factor_x_mud: 10, SKR: 1394474.507065202
desired_p_decoy: 0.04, desired_p_z_alice: 0.96, factor_x_mud: 10, SKR: 1424100.1757875003
desired_p_decoy: 0.04, desired_p_z_alice: 0.98, factor_x_mud: 10, SKR: 1453553.2704699545
desired_p_decoy: 0.06, desired_p_z_alice: 0.96, factor_x_mud: 10, SKR: 1663280.9968638774
desired_p_decoy: 0.06, desired_p_z_alice: 0.98, factor_x_mud: 10, SKR: 1697856.8865927204
desired_p_decoy: 0.08, desired_p_z_alice: 0.98, factor_x_mud: 10, SKR: 1773551.29185278
desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 11, SKR: 404260.14138611575
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 11, SKR: 415185.2048268113
desired_p_decoy: 0.02, desired_p_z_alice: 0.78, factor_x_mud: 11, SKR: 426109.6536424113
desired_p_decoy: 0.02, desired_p_z_alice: 0.8, factor_x_mud: 11, SKR: 437033.3028206675
desired_p_decoy: 0.02, desired_p_z_alice: 0.82, factor_x_mud: 11, SKR: 447955.82562800107
desired_p_decoy: 0.02, desired_p_z_alice: 0.84, factor_x_mud: 11, SKR: 458876.6808011566
desired_p_decoy: 0.02, desired_p_z_alice: 0.86, factor_x_mud: 11, SKR: 469794.9444577652
desired_p_decoy: 0.02, desired_p_z_alice: 0.88, factor_x_mud: 11, SKR: 480708.94468483684
desired_p_decoy: 0.02, desired_p_z_alice: 0.9, factor_x_mud: 11, SKR: 491615.3941914936
desired_p_decoy: 0.02, desired_p_z_alice: 0.92, factor_x_mud: 11, SKR: 502507.03026145766
desired_p_decoy: 0.02, desired_p_z_alice: 0.94, factor_x_mud: 11, SKR: 513364.77344779903
desired_p_decoy: 0.02, desired_p_z_alice: 0.96, factor_x_mud: 11, SKR: 524121.8271329675
desired_p_decoy: 0.02, desired_p_z_alice: 0.98, factor_x_mud: 11, SKR: 534350.1035250509
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 11, SKR: 1364818.041921282
desired_p_decoy: 0.04, desired_p_z_alice: 0.94, factor_x_mud: 11, SKR: 1394477.218733519
desired_p_decoy: 0.04, desired_p_z_alice: 0.96, factor_x_mud: 11, SKR: 1424110.9634096292
desired_p_decoy: 0.04, desired_p_z_alice: 0.98, factor_x_mud: 11, SKR: 1453604.576938396
desired_p_decoy: 0.06, desired_p_z_alice: 0.96, factor_x_mud: 11, SKR: 1663281.372470404
desired_p_decoy: 0.06, desired_p_z_alice: 0.98, factor_x_mud: 11, SKR: 1697871.062815511
desired_p_decoy: 0.08, desired_p_z_alice: 0.98, factor_x_mud: 11, SKR: 1773553.9188365538
desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 12, SKR: 404260.1788883546
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 12, SKR: 415185.3819255454
desired_p_decoy: 0.02, desired_p_z_alice: 0.78, factor_x_mud: 12, SKR: 426110.06843160186
desired_p_decoy: 0.02, desired_p_z_alice: 0.8, factor_x_mud: 12, SKR: 437034.08468510036
desired_p_decoy: 0.02, desired_p_z_alice: 0.82, factor_x_mud: 12, SKR: 447957.1588388294
desired_p_decoy: 0.02, desired_p_z_alice: 0.84, factor_x_mud: 12, SKR: 458878.8408574603
desired_p_decoy: 0.02, desired_p_z_alice: 0.86, factor_x_mud: 12, SKR: 469798.36349146045
desired_p_decoy: 0.02, desired_p_z_alice: 0.88, factor_x_mud: 12, SKR: 480714.34036862664
desired_p_decoy: 0.02, desired_p_z_alice: 0.9, factor_x_mud: 12, SKR: 491624.05063923326
