mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.9, factor_x_mud: 1, SKR: [2926447.07061362]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.92, factor_x_mud: 1, SKR: [2963503.11847573]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.9400000000000001, factor_x_mud: 1, SKR: [2974105.35739602]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.9600000000000001, factor_x_mud: 1, SKR: [2904754.81740735]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9400000000000001, desired_p_z_alice: 0.98, factor_x_mud: 1, SKR: [2372022.11989803]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.02, factor_x_mud: 1, SKR: [62973.92635999]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.04, factor_x_mud: 1, SKR: [125945.30439388]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.06, factor_x_mud: 1, SKR: [188913.53612124]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.08, factor_x_mud: 1, SKR: [251878.09205412]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.1, factor_x_mud: 1, SKR: [314838.45440922]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.12000000000000001, factor_x_mud: 1, SKR: [377794.09127504]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.13999999999999999, factor_x_mud: 1, SKR: [440744.44130904]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.16, factor_x_mud: 1, SKR: [503688.90214739]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.18, factor_x_mud: 1, SKR: [566626.82001552]
